# Matriz do Cenário 2
    .byte 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
    .byte 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
    .byte 2,3,3,3,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,3
    .byte 2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
    .byte 2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2
    .byte 2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2
    .byte 0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,2,2,2,1
    .byte 0,0,1,1,1,2,0,0,0,0,0,3,0,0,0,2,2,2,2,2
    .byte 0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
    .byte 0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
    .byte 2,0,0,1,1,1,1,1,2,0,0,3,0,0,0,0,0,0,0,3
    .byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
    .byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
    .byte 3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,4
    .byte 1,3,3,2,1,3,3,2,1,3,1,3,3,3,3,1,2,2,3,3
